Post_ID,Brand,Handle,Post_Text,Total_Followers,Total_Posts_LastYear,Num_Likes,Num_Comments,Num_Reposts
1,LumoraBeauty,@LumoraBeauty,"The order matters! Skincare layering: cleanser, toner, serum, eye cream, moisturiser, SPF (AM) or facial oil (PM) 🌸 Save this post for your next routine refresh 💛",485000,318,2347,69,325
2,LumoraBeauty,@LumoraBeauty,Current mood: applying a sheet mask and pretending it is a luxury spa day 🧖🥂 Anyone else? Drop a 🙋 if self-care Sunday is sacred to you!,485000,318,3542,489,498
3,LumoraBeauty,@LumoraBeauty,Your skin deserves a standing ovation today 👏✨ Drop a compliment for a fellow skincare lover below. Good vibes only in Lumora comments! 💛🌸,485000,318,2747,119,649
4,LumoraBeauty,@LumoraBeauty,"Our ClearCalm Blemish Serum has over 10,000 five-star reviews 🙌⭐ Visible results in 72 hours or your money back. Try it risk-free. Link in bio 💚✨",485000,318,3185,188,286
5,LumoraBeauty,@LumoraBeauty,"Retinol 101 🧪 Start with 0.25% twice a week at night, always follow with SPF the next morning. Our Lumora Night Renewal Serum is perfect for beginners ✨🌙",485000,318,1202,229,366
6,LumoraBeauty,@LumoraBeauty,AHA vs BHA: AHAs (like glycolic acid) resurface the top layer for glow and texture 🌟 BHAs (like salicylic acid) go deeper into pores for blemish control 🧴 Both have their beautiful place 🌸,485000,318,3267,203,159
7,LumoraBeauty,@LumoraBeauty,Skincare personality test 🧴 Are you a 3-step minimalist or a full 10-step devotee? No wrong answers 👇,485000,318,6068,141,360
8,LumoraBeauty,@LumoraBeauty,Glow-up season is every season with Lumora 🌸✨ Show us your before and after. We love celebrating YOUR progress 💕🙌,485000,318,5783,70,1119
9,LumoraBeauty,@LumoraBeauty,LIMITED TIME ✨ Buy any 2 Lumora skincare products and receive our Rose Glow face mask FREE 🌸🎁 Offer ends Sunday. Link in bio to grab yours! 💕,485000,318,3769,83,323
10,LumoraBeauty,@LumoraBeauty,"If your skincare routine had a soundtrack, what would it be? 🎵✨ Ours would be slow, luxurious and a little glittery 💫💛 Let us know below!",485000,318,14121,244,252
11,LumoraBeauty,@LumoraBeauty,That awkward moment when you realise you have been layering your serums in the completely wrong order for 6 months 😬 Been there. No judgement 🤝,485000,318,1204,104,116
12,LumoraBeauty,@LumoraBeauty,LIMITED TIME ✨ Buy any 2 Lumora skincare products and receive our Rose Glow face mask FREE 🌸🎁 Offer ends Sunday. Link in bio to grab yours! 💕,485000,318,2801,352,573
13,LumoraBeauty,@LumoraBeauty,Introducing our bestselling Lumora Glow Serum now in a new 50ml size 🎉✨ Packed with 15% Vitamin C and hyaluronic acid for lit-from-within radiance. Shop now via link in bio 💛🌸,485000,318,3665,188,412
14,LumoraBeauty,@LumoraBeauty,"Beauty is self-care, not a standard ✨ We love seeing your bare-skin confidence in our comments! Drop your current skincare win below 💛",485000,318,3167,254,498
15,LumoraBeauty,@LumoraBeauty,Ingredients are listed in order of concentration 📋 The first five make up the bulk of the formula. Look for actives in the top half of the list.,485000,318,3468,49,275
16,LumoraBeauty,@LumoraBeauty,Quick poll: morning skincare or evening skincare? Which do you find more effective? 🌅🌙 Vote below!,485000,318,5507,112,343
17,LumoraBeauty,@LumoraBeauty,"Retinol 101 🧪 Start with 0.25% twice a week at night, always follow with SPF the next morning. Our Lumora Night Renewal Serum is perfect for beginners ✨🌙",485000,318,3311,134,230
18,LumoraBeauty,@LumoraBeauty,Our Lumora Radiance Kit serum plus moisturiser plus SPF is your complete brightening routine in one beautiful box 📦💛 Perfect self-gift. Link in bio!,485000,318,2181,60,471
19,LumoraBeauty,@LumoraBeauty,POV: You just found your Holy Grail moisturiser and you are about to tell everyone 😂💕 Tag that one friend who needs our Hydra-Glow cream ASAP 👇,485000,318,915,342,750
20,LumoraBeauty,@LumoraBeauty,Our Lumora Radiance Kit serum plus moisturiser plus SPF is your complete brightening routine in one beautiful box 📦💛 Perfect self-gift. Link in bio!,485000,318,2149,240,504
21,LumoraBeauty,@LumoraBeauty,"Skincare confession time 🙈 What is the rule you break most often? We will not judge, but your skin might 😅",485000,318,3197,123,332
22,LumoraBeauty,@LumoraBeauty,"Skincare confession time 🙈 What is the rule you break most often? We will not judge, but your skin might 😅",485000,318,2537,102,218
23,LumoraBeauty,@LumoraBeauty,Did you know ceramides make up over 50% of your skin barrier? 🌿 Replenishing them with the right moisturiser dramatically reduces water loss and sensitivity 💛✨,485000,318,3960,111,360
24,LumoraBeauty,@LumoraBeauty,Ingredients are listed in order of concentration 📋 The first five make up the bulk of the formula. Look for actives in the top half of the list.,485000,318,1862,78,185
25,LumoraBeauty,@LumoraBeauty,"Running low on your Lumora SPF? ☀️ Do not let your skin go unprotected. Restock before you run out. Link in bio, free delivery over 35 euros 🛒",485000,318,1344,63,131
26,LumoraBeauty,@LumoraBeauty,Our Lumora subscription box ships monthly with 4 to 6 products curated to your skin type. Subscriptions open now. Details in link in bio.,485000,318,2811,100,238
27,LumoraBeauty,@LumoraBeauty,Our Lumora Radiance Kit serum plus moisturiser plus SPF is your complete brightening routine in one beautiful box 📦💛 Perfect self-gift. Link in bio!,485000,318,3142,223,339
28,LumoraBeauty,@LumoraBeauty,Last chance ⏰ Our Summer Glow Bundle goes off sale at midnight. Do not miss out. Link in bio.,485000,318,1535,103,59
29,LumoraBeauty,@LumoraBeauty,Your skin deserves a standing ovation today 👏✨ Drop a compliment for a fellow skincare lover below. Good vibes only in Lumora comments! 💛🌸,485000,318,7516,482,334
30,LumoraBeauty,@LumoraBeauty,"Niacinamide + Zinc = your best friends for oily, blemish-prone skin 🌿 This duo regulates sebum, minimises pores and calms inflammation. Find it in our ClearCalm range 🧴💚",485000,318,8720,164,374
